Season,Date,Team,Competition,Stage,Opposition,Home/Away,Venue,Result,F,A,Position,Time,Start,MOTM,YC,Try,Notes,Opposition_club
2015/2016,2015-11-21,2nd,MMT 2,NA,Rosslyn Park IVs (4th),A,Away,L,5,40,Lock,80,TRUE,FALSE,FALSE,0,NA,Rosslyn Park IVs
2015/2016,2015-11-28,Exiles,MMT Vase,NA,Uxbridge 2nd,A,Away,L,0,17,No. 8,80,TRUE,FALSE,FALSE,0,NA,Uxbridge
2015/2016,2015-12-05,Exiles,MMT 5,NA,Twickenham Bulldogs (2nd),H,Ealing,L,15,29,Lock,80,TRUE,FALSE,FALSE,0,NA,Twickenham Bulldogs
2015/2016,2015-12-12,Exiles,MMT 5,NA,Hammersmith & Fulham 5th,A,Away,L,26,38,Lock,80,TRUE,FALSE,FALSE,0,NA,Hammersmith & Fulham
2015/2016,2015-12-19,Exiles,Friendly,NA,High Wycombe 3rd,A,Away,W,12,5,Lock,80,TRUE,FALSE,FALSE,0,NA,High Wycombe
2015/2016,2016-01-02,1st,Middlesex Bowl,NA,Grasshoppers 1st,A,Away,L,10,17,Lock,20,FALSE,FALSE,FALSE,0,NA,Grasshoppers
2015/2016,2016-01-09,2nd,MMT 2,NA,Northolt 1st,A,Away,W,27,8,Lock,52,TRUE,FALSE,FALSE,0,NA,Northolt
2015/2016,2016-01-16,2nd,MMT 2,NA,Millfield Old Boys Badgers (2nd),H,Ealing,L,18,51,Lock,70,TRUE,FALSE,FALSE,0,NA,Millfield Old Boys Badgers
2015/2016,2016-01-23,Exiles,MMT 5,NA,London French 2nd,H,Northolt,L,21,33,No. 8,80,TRUE,FALSE,FALSE,1,NA,London French
2015/2016,2016-01-30,2nd,MMT 2,NA,London Cornish 4th,H,Ealing,W,43,24,Lock,80,TRUE,FALSE,FALSE,0,NA,London Cornish
2015/2016,2016-02-20,2nd,MMT 2,NA,HAC 3rd,H,Ealing,W,14,7,Lock,80,TRUE,FALSE,FALSE,0,NA,HAC
2015/2016,2016-02-27,2nd,MMT Cup,Quarter Final,HAC 2nd,H,Northolt,W,19,12,Lock,80,TRUE,FALSE,TRUE,0,NA,HAC
2015/2016,2016-03-05,Exiles,MMT 5,NA,Twickenham Bulldogs (2nd),A,Away,L,19,36,Lock,80,TRUE,FALSE,FALSE,0,NA,Twickenham Bulldogs
2015/2016,2016-03-12,Exiles,Friendly,NA,SODAM,H,Ealing,W,48,12,No. 8,80,TRUE,FALSE,FALSE,0,NA,SODAM
2015/2016,2016-03-19,Exiles,MMT 5,NA,Hanwell,H,Ealing,L,5,46,Lock,80,TRUE,FALSE,FALSE,0,NA,Hanwell
2015/2016,2016-04-02,2nd,MMT Cup,Semi Final,CS 1863 2nd,H,Ealing,W,26,24,Lock,0,FALSE,FALSE,FALSE,0,NA,CS 1863
2015/2016,2016-04-23,2nd,Friendly,NA,Hillingdon Baa Baas,A,Away,W,36,14,Lock,80,TRUE,FALSE,FALSE,0,NA,Hillingdon Baa Baas
2015/2016,2016-04-29,Exiles,Friendly,NA,Staines 2nd,A,Away,L,19,21,Lock,80,TRUE,FALSE,FALSE,0,NA,Staines
2015/2016,2016-05-20,Exiles,Memorial Match,NA,Evergreens,H,Ealing,L,24,34,Lock,60,FALSE,FALSE,FALSE,0,NA,Evergreens
2016/2017,2016-08-25,2nd,Friendly,NA,Wasps,H,Ealing,W,31,5,Lock,55,FALSE,FALSE,FALSE,0,NA,Wasps
2016/2017,2016-09-03,2nd,MMT Cup,NA,Chiswick 2nd,H,Wasps,L,31,54,Lock,80,TRUE,FALSE,FALSE,1,NA,Chiswick
2016/2017,2016-09-10,2nd,MMT 2,NA,HAC 3rd,H,Ealing,W,24,20,Lock,80,TRUE,FALSE,FALSE,0,NA,HAC
2016/2017,2016-09-17,2nd,MMT 2,NA,Rosslyn Park IVs,A,Away,W,19,9,Lock,40,TRUE,FALSE,FALSE,0,NA,Rosslyn Park IVs
2016/2017,2016-10-01,2nd,MMT 2,NA,London Cornish 4th,A,Away,W,29,18,Lock,80,TRUE,FALSE,FALSE,0,NA,London Cornish
2016/2017,2016-10-22,2nd,MMT 2,NA,Hammersmith & Fulham 4th,H,Ealing,W,23,18,Lock,80,TRUE,FALSE,FALSE,0,NA,Hammersmith & Fulham
2016/2017,2016-10-29,2nd,MMT 2,NA,Old Streetonians 2nd,H,Ealing,W,31,6,Lock,80,TRUE,FALSE,FALSE,0,NA,Old Streetonians
2016/2017,2016-11-05,2nd,MMT 2,NA,Grasshoppers 2nd,A,Away,W,28,10,Lock,80,TRUE,FALSE,FALSE,0,NA,Grasshoppers
2016/2017,2016-11-19,2nd,MMT 2,NA,Millfield Old Boys Badgers (2nd),H,Ealing,L,22,28,Lock,80,TRUE,FALSE,FALSE,0,NA,Millfield Old Boys Badgers
2016/2017,2016-11-26,2nd,MMT 2,NA,Kilburn Cosmos 2nd,A,Away,W,34,15,Lock,80,TRUE,FALSE,FALSE,0,NA,Kilburn Cosmos
2016/2017,2016-12-03,Exiles,Friendly,NA,Hanwell,H,Ealing,W,24,20,Lock,80,TRUE,TRUE,FALSE,0,NA,Hanwell
2016/2017,2016-12-10,2nd,MMT 2,NA,Grasshoppers 2nd,H,Ealing,L,24,25,Lock,80,TRUE,FALSE,FALSE,0,NA,Grasshoppers
2016/2017,2016-12-17,2nd,MMT 2,NA,Old Streetonians 2nd,A,Away,W,36,26,Lock,75,TRUE,FALSE,FALSE,0,NA,Old Streetonians
2016/2017,2017-01-07,2nd,MMT 2,NA,Hammersmith & Fulham 4th,A,Away,L,12,24,Lock,80,TRUE,FALSE,FALSE,0,NA,Hammersmith & Fulham
2016/2017,2017-01-14,2nd,MMT 2,NA,London Cornish 4th,H,Ealing,W,16,6,Lock,60,TRUE,FALSE,FALSE,0,NA,London Cornish
2016/2017,2017-01-21,Exiles,Memorial Match,NA,Old Actonians,A,Away,D,34,34,Lock,60,TRUE,FALSE,FALSE,0,NA,Old Actonians
2016/2017,2017-01-28,2nd,MMT 2,NA,Belsize Park 3rd,A,Away,W,52,19,Lock,50,TRUE,FALSE,FALSE,0,NA,Belsize Park
2016/2017,2017-02-11,2nd,MMT 2,NA,Rosslyn Park IVs,H,Ealing,L,17,30,Lock,40,TRUE,FALSE,FALSE,0,NA,Rosslyn Park IVs
2016/2017,2017-02-18,2nd,MMT 2,NA,HAC 3rd,A,Away,L,22,54,Lock,80,TRUE,FALSE,FALSE,1,NA,HAC
2016/2017,2017-03-04,2nd,MMT 2,NA,Kilburn Cosmos 2nd,H,Ealing,L,8,27,Lock,80,TRUE,FALSE,FALSE,0,NA,Kilburn Cosmos
2016/2017,2017-03-11,2nd,MMT 2,NA,Millfield Old Boys Badgers (2nd),A,Away,L,7,34,Lock,5,FALSE,FALSE,FALSE,0,NA,Millfield Old Boys Badgers
2016/2017,2017-04-13,1st,NW Middx Cup,Semi Final,Wasps,A,Away,W,29,8,Lock,30,FALSE,FALSE,FALSE,0,NA,Wasps
2016/2017,2017-04-15,Exiles,Friendly,NA,Hanwell/Wageningen,A,Away,W,30,0,Lock,60,TRUE,FALSE,FALSE,0,NA,Hanwell/Wageningen
2016/2017,2017-05-19,Exiles,Memorial Match,NA,Evergreens,H,Ealing,L,10,42,Lock,80,TRUE,FALSE,FALSE,1,NA,Evergreens
