Date,Team,Competition,Opposition,Home/Away,Score,Result,Position,Time
21/11/15,2nd,MMT 2,Rosslyn Park IVs (4th),A,40 - 5,L,Lock,80’
28/11/15,Exiles,MMT Vase,Uxbridge 2nd,A,17 - 0,L,No. 8,80’
05/12/15,Exiles,MMT 5,Twickenham Bulldogs (2nd),H,15 - 29,L,Lock,80’
12/12/15,Exiles,MMT 5,Hammersmith & Fulham 5th,A,38 - 26,L,Lock,80’
19/12/15,Exiles,Friendly,High Wycombe 3rd,A,5 - 12,W,Lock,80’
02/01/16,1st,Middlesex Bowl,Grasshoppers 1st,A,17 - 10,L,Lock,20’ R
09/01/16,2nd,MMT 2,Northolt 1st,A,8 - 27,W,Lock,52’
16/01/16,2nd,MMT 2,Millfield Old Boys Badgers (2nd),H,18 - 51,L,Lock,70’
23/01/16,Exiles,MMT 5,London French 2nd,H (@Northolt),21 - 33,L,No. 8,80’ T
30/01/16,2nd,MMT 2,London Cornish Dukes (4th),H,43 - 24,W,Lock,80’
20/02/16,2nd,MMT 2,HAC 3rd,H,14 - 7,W,Lock,80’
27/02/16,2nd,MMT Cup QF,HAC 2nd,H (@Northolt),19 - 12,W,Lock,80’ Y
05/03/16,Exiles,MMT 5,Twickenham Bulldogs (2nd),A,36 - 19,L,Lock,80’
12/03/16,Exiles,Friendly,SODAM,H,48 - 12,W,No. 8/Lock,80’
19/03/16,Exiles,MMT 5,Hanwell,H,5 - 46,L,Lock,80’
02/04/16,2nd,MMT Cup SF,CS 1863 2nd,H,26 - 24,W,Lock,0’ R
23/04/16,2nd,Friendly,Hillingdon Baa Baas,A,14 - 36,W,Lock,80’
29/04/16,Exiles,Friendly,Staines 2nd,A,21 - 19,L,Lock,80’
20/05/16,Exiles,Memorial Match,Evergreens,H,24 - 34,L,Lock,60’ R
25/08/16,2nd,Friendly,Wasps,H,31 - 5,W,Lock,55’ R
03/09/16,2nd,MMT Cup,Chiswick 2nd,H (@Wasps),31 - 54,L,Lock,80’ T
10/09/16,2nd,MMT 2,HAC 3rd,H,24 - 20,W,Lock,80’
17/09/16,2nd,MMT 2,Rosslyn Park IVs,A,9 - 19,W,Lock,40’
01/10/16,2nd,MMT 2,London Cornish 4th,A,18 - 29,W,Lock,80’
22/10/16,2nd,MMT 2,Hammersmith & Fulham 4th,H,23 - 18,W,Lock,80’
29/10/16,2nd,MMT 2,Old Streetonians 2nd,H,31 - 6,W,Lock,80’
05/11/16,2nd,MMT 2,Grasshoppers 2nd,A,10 - 28,W,Lock,80’
19/11/16,2nd,MMT 2,Millfield Old Boys Badgers (2nd),H,22 - 28,L,Lock,80’
26/11/16,2nd,MMT 2,Kilburn Cosmos 2nd,A,15 - 34,W,Lock,80’
03/12/16,Exiles,Friendly,Hanwell,H,24 - 20,W,Lock,80’ M
10/12/16,2nd,MMT 2,Grasshoppers 2nd,H,24 - 25,L,Lock,80’
17/12/16,2nd,MMT 2,Old Streetonians 2nd,A,26 - 36,W,Lock,75’
07/01/17,2nd,MMT 2,Hammersmith & Fulham 4th,A,24 - 12,L,Lock,80’
14/01/17,2nd,MMT 2,London Cornish 4th,H,16 - 6,W,Lock,60’
21/01/17,Exiles,Memorial Match,Old Actonians,A,34 - 34,D,Lock,60’
28/01/17,2nd,MMT 2,Belsize Park 3rd,A,19 - 52,W,Lock,50’
11/02/17,2nd,MMT 2,Rosslyn Park IVs,H,17 - 30,L,Lock,40’
18/02/17,2nd,MMT 2,HAC 3rd,A,54 - 22,L,Lock,80’ T
04/03/17,2nd,MMT 2,Kilburn Cosmos 2nd,H,8 - 27,L,Lock,80’
11/03/17,2nd,MMT 2,Millfield Old Boys Badgers (2nd),A,34 - 7,L,Lock,5’R
13/04/17,1st,NW Middx Cup SF,Wasps,A,8 - 29,W,Lock,30’ R
15/04/17,Exiles,Friendly,Hanwell/Wageningen,A,0 ?? 30,W,Lock,60’
19/05/17,Exiles,Memorial Match,Evergreens,H,10 - 42,L,Lock,80’ T
19/08/17,1st,Friendly,London Scottish 3rd,A,32 – 7,L,Lock,50’
24/08/17,2nd,Friendly,Staines,H,12 – 12,D,Lock,40’
09/09/17,2nd,Friendly,High Wycombe 2nd,A,14 – 31,W,Lock,80’
16/09/17,1st,Zoo Sports Shield 2,Shelford,A,24 – 0,L,Lock,80’
30/09/17,2nd,MMT 2,Kilburn Cosmos 2nd,H,15 – 26,L,Lock,80’
14/10/17,2nd,MMT Cup,Hampstead,H,17 – 48,L,Lock,40’ R
21/10/17,2nd,MMT 2,Grasshoppers 2nd,H,40 – 17,W,Lock,15’ R
28/10/17,2nd,MMT 2,Rosslyn Park IVs,H,33 – 47,L,Lock,75’ R
11/11/17,2nd,MMT 2,Belsize Park 3rd,H,30 – 22,W,Lock,30’ R
17/11/17,Evergreens,Friendly,Uxbridge Vandals,H,29 – 21,W,Lock/6,50’
25/11/17,2nd,MMT 2,HAC 3rd,A,46 – 33,L,Lock,80’
02/12/17,1st,Zoo Sports Shield 2,Colchester 2nd,A,52 - 12,L,Lock,1' R
09/12/17,2nd,MMT 2,Old Priorians,H,25 w/o 0,W,Lock,80' T
16/12/17,2nd,MMT 2,Kilburn Cosmos 2nd,A,3 - 43,W,Lock,55'
06/01/18,2nd,MMT 2,Hammersmith & Fulham 4th,H,24 - 24,D,Lock,40'
13/01/18,2nd,MMT 2,Grasshoppers 2nd,A,36 - 20,L,Lock,80'
20/01/18,Exiles,Memorial Match,Old Actonians,H,12 - 54,L,Lock,80'(/100')
27/01/18,2nd,MMT 2,Rosslyn Park IVs,A,56 - 7,L,Lock,80'
17/02/18,2nd,MMT 2,Belsize Park 3rd,A,62 - 35,L,Lock,80' TTM
10/03/18,Exiles,MMT 5,Northolt 2nd,A,5 - 5,D,Lock,80' C
17/03/18,2nd,MMT 2,HAC 3rd,H,12 - 10,W,Lock,80'
24/03/18,Exiles,Friendly,Wasps 2nd,A,41 - 43,W,Lock,80'
07/04/18,Exiles,Friendly,Feltham,H,12 - 29,L,Lock,70' A
14/04/18,Exiles,MMT 5 Play-Off Final,Hayes,A,22 - 14,L,Lock,80'
27/04/18,Evergreens,Middlesex Vets Final,UCS Old Boys,H,8 - 6,W,Lock,40' R
05/05/18,2nd,Friendly,UCFB,H,39 - 17,W,Lock,80'
18/05/18,Exiles,Memorial Match,Evergreens,H,46 - 49,L,Lock,65'
29/09/18,2nd,MMT 1,London Welsh 2nd,A,36 - 12,L,Lock,65' T
